62,7,Arminia Bielefeld,0,Union Berlin,5,,7/11/2020,7/11/2020 21:30
63,7,Freiburg,0,Leipzig,3,Red Bull Arena,7/11/2020,7/11/2020 21:30
64,6,Leipzig,0,Gladbach,1,Borussia-Park,1/11/2020,1/11/2020 0:30
65,3,Augsburg,0,Wolfsburg,0,Volkswagen Arena,4/10/2020,4/10/2020 20:30
66,2,FC Koeln,0,Arminia Bielefeld,1,,26-09-2020,20:30 26/09
67,2,Bremen,3,Schalke 04,1,Veltins-Arena,26-09-2020,23:30 26/09
68,1,Arminia Bielefeld,1,E.Frankfurt,1,Commerzbank-Arena,19-09-2020,20:30 19/09
69,8,Leipzig,1,E.Frankfurt,1,Commerzbank-Arena,22-11-2020,00:30 22/11
70,14,Augsburg,0,FC Koeln,0,,2/1/2021,2/1/2020 21:30
71,10,Gladbach,0,Freiburg,0,,5/12/2020,5/12/2020 21:30
72,11,Bremen,0,Leipzig,0,Red Bull Arena,12/12/2020,12/12/2020 21:30
73,11,FC Koeln,0,Mainz 05,0,Coface Arena,12/12/2020,12/12/2020 21:30
74,11,Arminia Bielefeld,0,Freiburg,0,,12/12/2020,12/12/2020 21:30
75,15,Wolfsburg,0,Union Berlin,0,,9/1/2021,9/1/2020 21:30
76,16,Augsburg,0,Bremen,0,Weserstadion,16-01-2021,21:30 16/01
77,16,Gladbach,0,Stuttgart,0,Mercedes-Benz-Arena,16-01-2021,21:30 16/01
78,12,Arminia Bielefeld,0,Schalke 04,0,Veltins-Arena,5/12/2020,5/12/2020 21:30
79,4,Union Berlin,1,Schalke 04,1,Veltins-Arena,18-10-2020,23:00 18/10
80,17,FC Koeln,0,Schalke 04,0,Veltins-Arena,20-01-2021,21:30 20/01
81,5,Augsburg,1,Leverkusen,3,BayArena,27-10-2020,02:30 27/10
82,13,Bremen,0,Mainz 05,0,Coface Arena,19-12-2020,21:30 19/12
83,9,Freiburg,0,Augsburg,0,Augsburg Arena,28-11-2020,21:30 28/11
84,7,Schalke 04,2,Mainz 05,2,Coface Arena,7/11/2020,7/11/2020 21:30
85,6,Leverkusen,4,Freiburg,2,,1/11/2020,1/11/2020 21:30
86,3,Berlin,3,Munich,4,Allianz Arena,4/10/2020,4/10/2020 23:00
87,2,Munich,1,Hoffenheim,4,WIRSOL Rhein-Neckar-Arena,27-09-2020,20:30 27/09
88,1,Gladbach,0,Dortmund,3,Signal-Iduna-Park,19-09-2020,23:30 19/09
89,1,Mainz 05,1,Leipzig,3,Red Bull Arena,20-09-2020,20:30 20/09
90,8,Dortmund,5,Berlin,2,Olympiastadion Berlin,22-11-2020,02:30 22/11
91,14,Leverkusen,0,E.Frankfurt,0,Commerzbank-Arena,2/1/2021,2/1/2020 21:30
92,10,Wolfsburg,0,FC Koeln,0,,5/12/2020,5/12/2020 21:30
93,11,Berlin,0,Gladbach,0,Borussia-Park,12/12/2020,12/12/2020 21:30
94,18,Munich,0,Schalke 04,0,Veltins-Arena,23-01-2021,21:30 23/01
95,19,Freiburg,0,Wolfsburg,0,Volkswagen Arena,30-01-2021,21:30 30/01
96,20,Leipzig,0,Schalke 04,0,Veltins-Arena,6/2/2021,6/2/2020 21:30
97,15,Hoffenheim,0,Schalke 04,0,Veltins-Arena,9/1/2021,9/1/2020 21:30
98,16,Leverkusen,0,Union Berlin,0,,16-01-2021,21:30 16/01
99,16,Arminia Bielefeld,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,16-01-2021,21:30 16/01
100,12,FC Koeln,0,Leipzig,0,Red Bull Arena,5/12/2020,5/12/2020 21:30
101,17,Union Berlin,0,Leipzig,0,Red Bull Arena,20-01-2021,21:30 20/01
102,13,Hoffenheim,0,Gladbach,0,Borussia-Park,19-12-2020,21:30 19/12
103,9,Schalke 04,0,Gladbach,0,Borussia-Park,29-11-2020,00:30 29/11
104,9,Berlin,0,Leverkusen,0,BayArena,29-11-2020,21:30 29/11
105,7,Berlin,3,Augsburg,0,Augsburg Arena,7/11/2020,7/11/2020 21:30
106,7,Munich,3,Dortmund,2,Signal-Iduna-Park,8/11/2020,8/11/2020 0:30
107,6,Wolfsburg,1,Berlin,1,Olympiastadion Berlin,2/11/2020,2/11/2020 0:00
108,2,Wolfsburg,1,Freiburg,1,,27-09-2020,23:00 27/09
109,1,Leverkusen,0,Wolfsburg,0,Volkswagen Arena,20-09-2020,23:00 20/09
110,8,Mainz 05,1,Freiburg,0,,22-11-2020,21:30 22/11
111,14,Gladbach,0,Arminia Bielefeld,0,,2/1/2021,2/1/2020 21:30
112,14,Schalke 04,0,Berlin,0,Olympiastadion Berlin,3/1/2021,3/1/2020 0:30
113,10,Dortmund,0,E.Frankfurt,0,Commerzbank-Arena,5/12/2020,5/12/2020 21:30
114,11,Stuttgart,0,Dortmund,0,Signal-Iduna-Park,12/12/2020,12/12/2020 21:30
115,18,Leipzig,0,Mainz 05,0,Coface Arena,23-01-2021,21:30 23/01
116,19,Schalke 04,0,Bremen,0,Weserstadion,30-01-2021,21:30 30/01
117,20,Union Berlin,0,Mainz 05,0,Coface Arena,6/2/2021,6/2/2020 21:30
118,21,Gladbach,0,Wolfsburg,0,Volkswagen Arena,13-02-2021,21:30 13/02
119,15,E.Frankfurt,0,Mainz 05,0,Coface Arena,9/1/2021,9/1/2020 21:30
120,15,FC Koeln,0,Freiburg,0,,9/1/2021,9/1/2020 21:30
121,16,Berlin,0,FC Koeln,0,,16-01-2021,21:30 16/01
122,16,Schalke 04,0,E.Frankfurt,0,Commerzbank-Arena,16-01-2021,21:30 16/01
123,16,Mainz 05,0,Dortmund,0,Signal-Iduna-Park,16-01-2021,21:30 16/01
124,12,Bremen,0,Mainz 05,0,Coface Arena,5/12/2020,5/12/2020 21:30
125,17,Wolfsburg,0,Mainz 05,0,Coface Arena,20-01-2021,21:30 20/01
126,13,E.Frankfurt,0,Augsburg,0,Augsburg Arena,19-12-2020,21:30 19/12
127,9,Hoffenheim,0,Mainz 05,0,Coface Arena,30-11-2020,00:00 30/11
128,7,Hoffenheim,1,Wolfsburg,2,Volkswagen Arena,8/11/2020,8/11/2020 21:30
129,6,Union Berlin,3,Hoffenheim,1,WIRSOL Rhein-Neckar-Arena,3/11/2020,3/11/2020 2:30
130,8,Union Berlin,0,FC Koeln,0,,23-11-2020,00:00 23/11
131,14,Leipzig,0,Stuttgart,0,Mercedes-Benz-Arena,3/1/2021,3/1/2020 2:30
132,22,Dortmund,0,Schalke 04,0,Veltins-Arena,20-02-2021,21:30 20/02
133,10,Mainz 05,0,Arminia Bielefeld,0,,5/12/2020,5/12/2020 21:30
134,11,Munich,0,Union Berlin,0,,13-12-2020,00:30 13/12
135,18,FC Koeln,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,23-01-2021,21:30 23/01
136,19,Mainz 05,0,Stuttgart,0,Mercedes-Benz-Arena,30-01-2021,21:30 30/01
137,20,E.Frankfurt,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,6/2/2021,6/2/2020 21:30
138,20,Munich,0,Berlin,0,Olympiastadion Berlin,6/2/2021,6/2/2020 21:30
139,20,Dortmund,0,Freiburg,0,,6/2/2021,6/2/2020 21:30
140,21,Freiburg,0,Bremen,0,Weserstadion,13-02-2021,21:30 13/02
141,21,Berlin,0,Stuttgart,0,Mercedes-Benz-Arena,13-02-2021,21:30 13/02
142,21,Schalke 04,0,Union Berlin,0,,13-02-2021,21:30 13/02
143,21,Augsburg,0,Leipzig,0,Red Bull Arena,13-02-2021,21:30 13/02
144,21,FC Koeln,0,E.Frankfurt,0,Commerzbank-Arena,13-02-2021,21:30 13/02
145,15,Bremen,0,Leverkusen,0,BayArena,9/1/2021,9/1/2020 21:30
146,16,Freiburg,0,Munich,0,Allianz Arena,16-01-2021,21:30 16/01
147,12,Berlin,0,Freiburg,0,,5/12/2020,5/12/2020 21:30
148,17,Hoffenheim,0,Berlin,0,Olympiastadion Berlin,20-01-2021,21:30 20/01
149,17,E.Frankfurt,0,Freiburg,0,,20-01-2021,21:30 20/01
150,13,Munich,0,Leverkusen,0,BayArena,20-12-2020,00:30 20/12
151,7,Gladbach,3,Leverkusen,4,BayArena,9/11/2020,9/11/2020 0:00
152,14,Wolfsburg,0,Dortmund,0,Signal-Iduna-Park,3/1/2021,3/1/2020 21:30
153,14,Mainz 05,0,Munich,0,Allianz Arena,4/1/2021,4/1/2020 0:00
154,22,Bremen,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,20-02-2021,21:30 20/02
155,22,Leipzig,0,Berlin,0,Olympiastadion Berlin,20-02-2021,21:30 20/02
156,22,Union Berlin,0,Freiburg,0,,20-02-2021,21:30 20/02
157,10,Leipzig,0,Munich,0,Allianz Arena,6/12/2020,6/12/2020 0:30
158,11,Schalke 04,0,Augsburg,0,Augsburg Arena,13-12-2020,21:30 13/12
159,11,Hoffenheim,0,Leverkusen,0,BayArena,14-12-2020,00:00 14/12
160,23,Berlin,0,Wolfsburg,0,Volkswagen Arena,27-02-2021,21:30 27/02
161,18,Bremen,0,Berlin,0,Olympiastadion Berlin,23-01-2021,21:30 23/01
162,19,Gladbach,0,Union Berlin,0,,30-01-2021,21:30 30/01
163,20,FC Koeln,0,Gladbach,0,Borussia-Park,6/2/2021,6/2/2020 21:30
164,21,Hoffenheim,0,Dortmund,0,Signal-Iduna-Park,13-02-2021,21:30 13/02
165,21,Arminia Bielefeld,0,Munich,0,Allianz Arena,13-02-2021,21:30 13/02
166,15,Dortmund,0,Leipzig,0,Red Bull Arena,10/1/2021,10/1/2020 0:30
167,12,Hoffenheim,0,Gladbach,0,Borussia-Park,5/12/2020,5/12/2020 21:30
168,17,Bremen,0,Gladbach,0,Borussia-Park,20-01-2021,21:30 20/01
